Cod,Nome do alimento,Nível 1 ,Nível 2,Nível 3 ,"Energia
[kcal] ","Energia
[kJ] ","Lípidos
[g]","Ácidos gordos saturados
[g] ","Ácidos gordos monoinsaturados 
[g]","Ácidos gordos polinsaturados 
[g]","Ácido linoleico 
[g] ","Ácidos gordos trans 
[g]","Hidratos de carbono 
[g]","Açúcares 
[g] ","Oligossacáridos 
[g] ","Amido 
[g]","Fibra  
[g]","Proteínas 
[g] ","Sal  
[g]","Álcool 
[g] ","Água 
[g] ","Ácidos orgânicos 
[g] ","Colesterol 
[mg]","Vitamina A  
[µg]","Caroteno 
[µg]","Vitamina D 
[µg]","alfa-tocoferol 
[mg]","Tiamina 
[mg] ","Riboflavina 
[mg] ","Niacina 
[mg]","Equivalentes de niacina 
[mg]","Triptofano/60 
[mg]","Vitamina B6 
[mg]","Vitamina B12 
[µg]","Vitamina C 
[mg]","Folatos 
[µg]","Cinza 
[g]","Sódio 
[mg]","Potássio 
[mg] ","Cálcio 
[mg]","Fósforo 
[mg]","Magnésio 
[mg]","Ferro 
[mg]","Zinco 
[mg]","Selénio 
[µg]","Iodo 
[µg]",alimento_hc
275,Coelho estufado com margarina,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",205,856,9.5,3.8,2.1,2.1,1.87,0,0.9,0.7,0.2,0,0.3,26.6,1.4,1.2,58.4,0,63,32,21,0.5,0.24,0.09,0.16,3,10.3,4.96,0.34,7,1.4,7.1,3.15,550,320,27,220,24,1.5,1.9,,,Coelho estufado com margarina (0.9g HC/100g)
7,Coentros crus,Produtos hortícolas e derivados,Ervas e flores comestíveis,Ervas aromáticas,28,117,0.6,0.1,0,0.4,0.3,0,1.8,1.5,0,0.3,2.9,2.4,0.1,0,92.8,0,0,102,610,0,0.7,0.07,0.12,0.7,1.1,0.4,0.18,0,63,18,1.7,28,540,98,36,26,1.9,0.2,,,Coentros crus (1.8g HC/100g)
603,Cogumelos crus,Produtos hortícolas e derivados,"Fungos, musgos e líquenes",Fungos,18,76,0.5,0.1,0,0.2,0.2,0,0.5,0.3,0,0.2,2.3,1.8,0,0,92.6,0,0,0,0,0,0.1,0.09,0.31,3.2,3.5,0.3,0.18,0,1,44,0.9,5,320,6,80,9,0.6,0.4,,,Cogumelos crus (0.5g HC/100g)
604,"Cogumelos enlatados, escorridos",Produtos hortícolas e derivados,Produtos hortícolas transformados ou em conserva e produtos similares,Vegetais em lata ou frasco,17,72,0.4,0.1,0,0.2,0.2,0,0,0,0,0,2.7,2.1,0.9,0,91.4,0,0,0,0,0,0.1,0.01,0.25,1.1,1.4,0.3,0.02,0,0,10,1.7,360,100,22,61,6,0.6,0.6,,1.6,"Cogumelos enlatados, escorridos (0g HC/100g)"
605,Cogumelos fritos com óleo alimentar,Produtos hortícolas e derivados,"Fungos, musgos e líquenes",Fungos,163,669,16.2,1.8,3.4,10.4,10.4,0,0.3,0.1,0,0.2,3,2.4,0,0,74.8,0,0,0,0,0,2.9,0.09,0.34,0.4,0.6,0.2,0.19,0,1,11,1.7,4,340,8,100,19,1,0.5,,1.6,Cogumelos fritos com óleo alimentar (0.3g HC/100g)
1197,Colorau,"Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias",Especiarias ,Especiarias de frutos,358,1490,13,2.1,1.2,8.4,0.5,0,35,33.2,0,1.8,20.9,14.8,0.1,0,9.4,0,0,6042,18126,0,0,0.65,1.7,15,15,0,3.4,0,0,0,7.7,34,2340,180,350,190,24,4.1,,,Colorau (35g HC/100g)
1900000045,Cominhos,"Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias",Especiarias ,Especiarias de sementes,427,1780,22,1.9,8.6,10.6,10.6,0,34,0,0,34,10.5,18,0.4,0,18,0,0,130,762,0,3.33,0.63,0.33,4.6,13.1,8.5,0.44,0,8,0,3.83,170,1790,930,500,370,66,4.2,,,Cominhos (34g HC/100g)
629,Compota de ameixa,Frutos e produtos derivados de frutos,Produtos de frutos processados,"Frutos / Vegetais, cremes e similares",200,849,0,0,0,0,0,0,49.2,49.2,0,0,0.9,0.3,0,0,49.6,0,0,8,50,0,0,0,0,0,0,0,0,0,0,0,0.22,9,72,11,7,4,0.4,0.1,,,Compota de ameixa (49.2g HC/100g)
634,Compota de ananás,Frutos e produtos derivados de frutos,Produtos de frutos processados,"Frutos / Vegetais, cremes e similares",211,895,0.1,0,0.1,0,0,0,50.8,50.8,0,0,0.8,0.5,0,0,46.8,1,0,2,11,0,0.06,0.05,0.02,0.2,0.3,0.1,0.07,0,0,1,0.49,12,86,12,7,8,1.6,0,,,Compota de ananás (50.8g HC/100g)
639,Compota de cereja,Frutos e produtos derivados de frutos,Produtos de frutos processados,"Frutos / Vegetais, cremes e similares",251,1070,0,0,0,0,0,0,61.9,61.9,0,0,0.9,0.4,0,0,36.6,0,0,0,0,0,0,0.01,0.03,0,0,0,0,0,0,0,0.18,11,94,11,7,5,1.5,0,,,Compota de cereja (61.9g HC/100g)
646,Compota de damasco,Frutos e produtos derivados de frutos,Produtos de frutos processados,"Frutos / Vegetais, cremes e similares",239,1020,0,0,0,0,0,0,58.9,58.9,0,0,0.9,0.4,0,0,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.35,10,86,18,21,4,0.8,0,,,Compota de damasco (58.9g HC/100g)
659,Compota de laranja,Frutos e produtos derivados de frutos,Produtos de frutos processados,"Frutos / Vegetais, cremes e similares",242,1030,0,0,0,0,0,0,59.5,59.5,0,0,0.9,0.4,0,0,38.7,0.1,0,80,50,0,0,0,0,0,0,0,0,0,11,5,0.29,14,46,26,12,4,0.6,0.2,,,Compota de laranja (59.5g HC/100g)
1210,Condimento de mostarda,"Temperos, molhos e condimentos",Condimentos (incluindo formatos de mesa),Molhos salgados,158,662,6.4,0.3,4.6,1.5,1.3,0,18.5,14.5,0,4,1.7,5.7,1.9,0,63,0,0,0,0,0,1.8,0.1,0.2,0,1,1,0,0,0,1.8,1.26,760,170,35,170,120,1.6,0.7,,,Condimento de mostarda (18.5g HC/100g)
1900000007,Coração de galinha cru,Carne e produtos cárneos,Outros produtos do abate de animais,Outros produtos do abate de aves,149,621,9.3,2.7,2.4,2.7,0.6,0,0.7,0,0,0.7,0,15.6,0.2,0,73.6,0,136,9,0,0.7,0.37,0.31,0.73,4.88,8.21,3.33,0.23,7.29,3.2,45,0.8,64,180,12,180,17,6,6.6,,,Coração de galinha cru (0.7g HC/100g)
315,"Coração de porco, cru",Carne e produtos cárneos,Outros produtos do abate de animais,Outros produtos do abate de mamiferos,113,476,4.4,1.5,1.7,0.7,0.6,0,0,0,0,0,0,18.4,0.3,0,76.3,0,92,8,0,0.7,0.37,0.52,0.97,5,8.9,3.9,0.31,2,3,2,1.18,110,320,10,280,22,2.7,2.2,,,"Coração de porco, cru (0g HC/100g)"
316,"Coração de porco, estufado com banha e margarina",Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",193,805,10.5,3.8,4.1,1.8,1.63,0,1,0.7,0.1,0.1,0.4,20.9,1.4,1.4,63.6,0,106,117,542,0.7,0.55,0.44,0.99,4.2,10.2,4.41,0.25,1.2,5,4.8,2.73,570,260,23,210,25,3,1.9,,,"Coração de porco, estufado com banha e margarina (1g HC/100g)"
318,"Coração de vaca, cozido",Carne e produtos cárneos,Outros produtos do abate de animais,Outros produtos do abate de mamiferos,123,520,3.3,1.4,1.4,0.2,0.2,0.1,0,0,0,0,0,23.4,0.5,0,71.4,0,128,10,0,0.4,0.6,0.43,0.49,3.8,8.8,5,0.16,12,6,3.9,1.6,200,260,16,300,27,7.6,2.1,,,"Coração de vaca, cozido (0g HC/100g)"
317,"Coração de vaca, cru",Carne e produtos cárneos,Outros produtos do abate de animais,Outros produtos do abate de mamiferos,92,389,2.7,1.1,1.2,0.1,0.1,0.1,0,0,0,0,0,17,0.3,0,78.8,0,91,6,0,0.3,0.45,0.4,0.4,5,8.6,3.6,0.23,13,6,4,1.04,100,290,13,280,20,5,1.6,,,"Coração de vaca, cru (0g HC/100g)"
319,"Coração de vaca, estufado com banha e margarina",Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",154,643,7.8,3,3.3,1.1,0.981,0.1,0.9,0.7,0.1,0.1,0.4,17.7,1.3,1.2,69.2,0,96,105,496,0.3,0.58,0.32,0.38,3.8,9.02,3.73,0.18,7,6.3,5.5,2.35,520,220,24,190,21,4.9,1.3,,,"Coração de vaca, estufado com banha e margarina (0.9g HC/100g)"
320,"Coração de vitela, cru",Carne e produtos cárneos,Outros produtos do abate de animais,Outros produtos do abate de mamiferos,100,419,3.6,1.5,1.5,0.1,0.1,0.2,0,0,0,0,0,16.8,0.3,0,78.6,0,76,6,0,0.9,0.45,0.5,0.49,6.5,10,3.6,0.23,13,5,4,1.1,120,350,15,300,18,5.5,1.5,,,"Coração de vitela, cru (0g HC/100g)"
827,Corvina cozida,"Peixes, mariscos, anfíbios, répteis e invertebrados",Peixe (músculo),Peixe de mar,95,404,1.4,0.3,0.5,0.2,0,0,0,0,0,0,0,20.7,0.8,0,76,0,54,1,0,16,0.48,0.05,0.15,2.6,6.5,3.9,0.22,0.3,0,12,1.9,310,390,11,230,40,0.2,0.5,,,Corvina cozida (0g HC/100g)
826,Corvina crua,"Peixes, mariscos, anfíbios, répteis e invertebrados",Peixe (músculo),Peixe de mar,94,399,1.4,0.3,0.5,0.2,0,0,0,0,0,0,0,20.4,0.1,0,76.7,0,50,1,0,16,0.45,0.07,0.14,2.7,6.5,3.8,0.29,0.3,0,12,1.2,56,430,13,230,31,0.3,0.5,,,Corvina crua (0g HC/100g)
126,Costeleta de cabrito crua,Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,120,506,2.7,0.8,1.2,0.2,0.1,0.1,0,0,0,0,0,23.9,0.2,0,72.2,0,60,0,0,0.4,0.09,0.13,0.32,6.6,12,5.1,0.32,1.3,0,5,0.9,94,440,14,130,26,1.1,4.6,,,Costeleta de cabrito crua (0g HC/100g)
136,Costeleta de cabrito grelhada,Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,151,636,3,0.9,1.3,0.2,0.1,0.1,0,0,0,0,0,30.9,0.5,0,63.8,0,78,0,0,0,0.98,0.11,0.35,6.3,12,5.8,0.26,1.2,0,5.4,1.8,200,480,17,160,32,1.4,6.3,,,Costeleta de cabrito grelhada (0g HC/100g)
97,"Costeleta de carneiro, crua",Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,151,631,7.5,3.2,2.4,0.3,0.2,0.3,0,0,0,0,0,20.8,0.2,0,70,0,66,0,0,0.4,0.09,0.09,0.18,4.8,8.7,3.9,0.3,2,0,3,1.2,88,350,17,220,24,0.9,4,,,"Costeleta de carneiro, crua (0g HC/100g)"
151,Costeleta de porco gorda crua,Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,355,1470,31.8,10.9,10.6,5.2,4.5,0.1,0,0,0,0,0,17.3,0.2,0,50.5,0,74,0,0,1,0.03,0.63,0.17,5.5,9.2,3.7,0.35,1,0,3,1.02,61,310,19,190,18,1.3,1.7,,,Costeleta de porco gorda crua (0g HC/100g)
